site_id,lat,lon,traffic_score,parking_score,demand_proxy
PK_651,30.2694321,-97.7444382,82.62163382143193,100.0,60.91899934201018
PK_384,30.2707939,-97.7502441,91.85908828150511,100.0,59.729340507037264
PK_12,30.2670021,-97.7480545,81.26054654206148,100.0,56.58716211767541
PK_400,30.2643223,-97.7459106,64.82565173765565,100.0,53.14630190262165
PK_26,30.2722073,-97.7422867,82.57940023799344,100.0,78.0186580900241
PK_427,30.2680492,-97.7387695,54.79502422504532,100.0,41.48199513774928
PK_1611,30.2658691,-97.7375488,46.55707690177596,100.0,44.771536743699926
PK_359,30.2688885,-97.7379837,56.23735900587529,100.0,45.255042069524976
PK_1281,30.2739544,-97.7377625,65.47570264701224,100.0,66.60598584390196
PK_388,30.2633591,-97.7432175,59.325579000338635,100.0,51.88035765825194
PK_1602,30.2690849,-97.7372818,56.13976548354299,100.0,42.50235389748196
PK_52,30.268158,-97.7402802,70.3725408811143,100.0,58.74224812220308
PK_82,30.2695103,-97.7400208,73.74162311970046,100.0,71.50560409386438
PK_397,30.2735691,-97.742775,84.75646886623036,100.0,78.81800515211408
PK_54,30.2680206,-97.7394485,68.58347191746071,100.0,58.05407607919232
PK_28,30.2736588,-97.7437592,86.26940705738195,100.0,79.16209117361944
PK_41,30.2653408,-97.7447052,71.17581369700042,100.0,52.11404383810552
PK_385,30.2709198,-97.7422943,80.65375347898376,100.0,89.7175828212069
PK_428,30.2678967,-97.7382278,53.788098616776274,100.0,47.6636442200626
PK_342,30.2691097,-97.7375336,56.39884210972181,100.0,45.255042069524976
PK_365,30.2693539,-97.7451324,84.32963696131293,100.0,63.6716875140532
PK_352,30.2678623,-97.7381058,53.57180069269144,100.0,47.6636442200626
PK_371,30.2722206,-97.7468948,91.59006987228071,100.0,74.37052735668225
PK_90,30.2687893,-97.7422104,75.90669514296482,100.0,61.150850272740705
PK_964,30.272974,-97.7437744,85.83662088522273,100.0,90.51692988329688
PK_344,30.2661114,-97.7427216,68.8246014782003,100.0,52.56852970126269
PK_348,30.2661438,-97.7350388,20.0,100.0,49.394078754217
PK_1605,30.2685795,-97.7368698,54.580940592646286,100.0,43.878697983503464
PK_345,30.2696571,-97.748848,87.59938150761337,100.0,66.52284309572406
PK_647,30.2710266,-97.7504196,92.18576605733624,100.0,61.10568459305877
PK_336,30.2662849,-97.7340622,20.015963045288522,100.0,43.5446163886256
PK_38,30.2659492,-97.7449341,74.2483344403907,100.0,47.72914339995636
PK_57,30.2610703,-97.7379913,24.868531105297123,100.0,48.11256470681771
PK_405,30.2692986,-97.7496185,90.24599178628812,100.0,66.86692911722943
PK_331,30.268795,-97.7383957,56.39953160438533,100.0,48.35181626307336
PK_7,30.2742882,-97.7460403,89.78891495340362,100.0,88.41542387753522
PK_355,30.2691135,-97.7395325,71.96342578148422,100.0,53.925043821127815
PK_410,30.2630081,-97.7421951,53.91861725023164,100.0,57.90435420308075
PK_68,30.2669029,-97.7354431,44.3378514742841,100.0,38.41109331902237
PK_326,30.2702389,-97.7399292,75.35374825761039,100.0,81.80360432658324
PK_963,30.2726765,-97.7438889,85.79628418629201,100.0,81.25224778678977
PK_378,30.2677994,-97.7445068,78.97626270412083,100.0,59.378145379723065
PK_395,30.2644234,-97.7378159,36.70973034282783,100.0,49.93282706628057
PK_435,30.265501,-97.7442398,70.51724470781133,100.0,53.09930097381664
PK_40,30.2656403,-97.7446365,72.178324218244,100.0,47.040971356945604
PK_335,30.2664394,-97.734726,20.022192983829168,100.0,49.394078754217
PK_363,30.2697163,-97.745575,86.18544380808261,100.0,67.9874050231663
PK_965,30.2727089,-97.7443695,86.67200309103708,100.0,81.59633380829516
PK_396,30.2736969,-97.7432327,85.51496385866014,100.0,78.81800515211408
PK_45,30.2638435,-97.7454376,61.46122473246827,100.0,54.17855996713777
PK_360,30.2705021,-97.7393951,75.20010956674464,100.0,86.95299534438044
PK_350,30.2676868,-97.7381439,53.09617279506636,100.0,48.35181626307336
PK_408,30.2667408,-97.741333,67.77162958107738,100.0,55.319621140314155
PK_421,30.268219,-97.7363586,53.36011248841216,100.0,50.59086657134303
PK_346,30.2671146,-97.7344742,20.06636363112146,100.0,48.36182068970086
PK_341,30.2692966,-97.7374649,56.796827007898145,100.0,44.22278400500884
PK_376,30.2643604,-97.7446976,66.84525548659178,100.0,54.52264598864315
PK_431,30.2656116,-97.7423935,66.20287953101445,100.0,52.56852970126269
PK_351,30.2684746,-97.7387314,55.918382778090276,100.0,47.6636442200626
PK_422,30.2680988,-97.7364731,53.090852897862234,100.0,51.27903861435378
PK_328,30.2690639,-97.741066,74.3516277439771,100.0,61.150850272740705
PK_358,30.2688541,-97.7414627,74.54959330174104,100.0,61.150850272740705
PK_423,30.2667599,-97.7372208,49.47760645922388,100.0,45.7918955034326
PK_403,30.2707672,-97.7489548,88.00203093666182,100.0,62.13794265757489
PK_972,30.2680264,-97.7495346,89.13571720761736,100.0,66.52284309572406
PK_343,30.2704697,-97.7398758,75.79015173645885,100.0,87.64116738739119
PK_74,30.2649364,-97.7357941,38.33613299286151,100.0,49.23275571848637
PK_369,30.268322,-97.7433777,77.37696364100239,100.0,59.77610291971075
PK_353,30.268713,-97.7380753,55.87218049657667,100.0,46.63138615554647
PK_93,30.2653675,-97.7425232,65.61465168581628,100.0,52.56852970126269
PK_11,30.2669678,-97.7484283,82.6583426371964,100.0,55.21081803165391
