site_id,lat,lon,is_existing,community_id,distance_to_nearest_existing_km,node_weight
OCM_4343,30.260241,-97.753823,True,0,0.0,
OCM_4638,30.20633,-97.75936,True,0,0.0,
OCM_5053,30.258713,-97.751992,True,0,0.0,
OCM_5154,30.191115923061915,-97.77210831642151,True,0,0.0,
OCM_5693,30.268109,-97.749269,True,0,0.0,
OCM_19221,30.216443,-97.69223,True,0,0.0,
OCM_26403,30.2201063,-97.8414142,True,0,0.0,
OCM_26412,30.2599577,-97.7185673,True,0,0.0,
OCM_26413,30.2604763,-97.7467678,True,0,0.0,
OCM_26418,30.2730369,-97.7599861,True,0,0.0,
OCM_26442,30.428827,-97.755163,True,0,0.0,
OCM_41952,30.288602,-97.742362,True,0,0.0,
OCM_51755,30.351799,-97.70791,True,0,0.0,
OCM_51758,30.2520199,-97.7470902,True,0,0.0,
OCM_51759,30.283176,-97.745492,True,0,0.0,
OCM_51760,30.3272668,-97.9254155,True,1,0.0,
OCM_51764,30.3953578,-97.7262403,True,0,0.0,
OCM_66845,30.1873295,-97.663001,True,0,0.0,
OCM_66852,30.2616179,-97.7422804,True,0,0.0,
OCM_66854,30.2690776,-97.7419653,True,0,0.0,
OCM_66859,30.2910848,-97.8587169,True,0,0.0,
OCM_66868,30.408205,-97.666596,True,0,0.0,
OCM_66869,30.410666,-97.849318,True,2,0.0,
OCM_66873,30.4800386,-97.6865666,True,0,0.0,
OCM_71274,30.3982556,-97.7175045,True,0,0.0,
OCM_72144,30.250097,-97.74838,True,0,0.0,
OCM_72145,30.2780642,-97.7101874,True,0,0.0,
OCM_72877,30.2317577,-97.7294727,True,0,0.0,
OCM_72878,30.2322565,-97.7984376,True,0,0.0,
OCM_72879,30.3165756,-97.7576429,True,0,0.0,
OCM_75770,30.3571063,-97.7486304,True,0,0.0,
OCM_75771,30.3918212,-97.7497533,True,0,0.0,
OCM_80110,30.4036314,-97.7199011,True,0,0.0,
OCM_81416,30.259012,-97.747352,True,0,0.0,
OCM_81537,30.352669,-97.70974,True,0,0.0,
OCM_81612,30.265397,-97.746566,True,0,0.0,
OCM_81983,30.44599,-97.868845,True,3,0.0,
OCM_84579,30.250541,-97.749422,True,0,0.0,
OCM_85015,30.440841,-97.779967,True,0,0.0,
OCM_85698,30.259977,-97.739149,True,0,0.0,
OCM_85870,30.251446,-97.74933,True,0,0.0,
OCM_87307,30.396418,-97.931356,True,4,0.0,
OCM_89130,30.255806,-97.872517,True,0,0.0,
OCM_89135,30.408048,-97.725664,True,0,0.0,
OCM_89895,30.2658848,-97.7488913,True,0,0.0,
OCM_93254,30.26662,-97.740375,True,0,0.0,
OCM_97575,30.293072,-97.555372,True,5,0.0,
OCM_97965,30.329275,-97.706259,True,0,0.0,
OCM_102309,30.2639605,-97.7448014,True,0,0.0,
OCM_104405,30.477825,-97.680383,True,0,0.0,
OCM_105494,30.475146,-97.801817,True,0,0.0,
OCM_108710,30.309487,-97.935413,True,1,0.0,
OCM_109986,30.271704,-97.713959,True,0,0.0,
OCM_114058,30.256871,-97.872615,True,0,0.0,
OCM_120063,30.168498,-97.795821,True,0,0.0,
OCM_120064,30.1725993,-97.7770672,True,0,0.0,
OCM_120067,30.179581,-97.769283,True,0,0.0,
OCM_120068,30.183177,-97.769817,True,0,0.0,
OCM_120071,30.1915824,-97.7756261,True,0,0.0,
OCM_120072,30.192647,-97.714329,True,0,0.0,
OCM_120077,30.2004397,-97.7614465,True,0,0.0,
OCM_120078,30.2044779,-97.7837356,True,0,0.0,
OCM_120079,30.20495,-97.663249,True,0,0.0,
OCM_120081,30.2064064,-97.8070474,True,0,0.0,
OCM_120082,30.208074,-97.661328,True,0,0.0,
OCM_120083,30.2103867,-97.6645856,True,0,0.0,
OCM_120084,30.2106958,-97.6680811,True,0,0.0,
OCM_120085,30.2117271,-97.7722847,True,0,0.0,
OCM_120086,30.212027,-97.6629,True,0,0.0,
OCM_120089,30.2134523,-97.657691,True,0,0.0,
OCM_120091,30.218336,-97.662154,True,0,0.0,
OCM_120092,30.2210641,-97.7704077,True,0,0.0,
OCM_120093,30.2228031,-97.7461014,True,0,0.0,
OCM_120096,30.226907,-97.751966,True,0,0.0,
OCM_120097,30.2274341,-97.7185399,True,0,0.0,
OCM_120098,30.2274564,-97.7260962,True,0,0.0,
OCM_120100,30.230035,-97.88718,True,0,0.0,
OCM_120101,30.230389,-97.706509,True,0,0.0,
OCM_120102,30.231714,-97.883409,True,0,0.0,
OCM_120105,30.2339144,-97.7272544,True,0,0.0,
OCM_120106,30.2351158,-97.9173324,True,0,0.0,
OCM_120107,30.2364735,-97.7826067,True,0,0.0,
OCM_120108,30.2405269,-97.7303727,True,0,0.0,
OCM_120109,30.2409768,-97.7262592,True,0,0.0,
OCM_120116,30.2491199,-97.8624178,True,0,0.0,
OCM_120118,30.254424,-97.781461,True,0,0.0,
OCM_120119,30.2564747,-97.7517587,True,0,0.0,
OCM_120121,30.258221,-97.725239,True,0,0.0,
OCM_120123,30.2596413,-97.859784,True,0,0.0,
OCM_120124,30.260355,-97.723548,True,0,0.0,
OCM_120128,30.261602,-97.719623,True,0,0.0,
OCM_120130,30.2619108,-97.7739459,True,0,0.0,
OCM_120136,30.26751,-97.693652,True,0,0.0,
OCM_120137,30.26824,-97.70695,True,0,0.0,
OCM_120138,30.2695252,-97.7869716,True,0,0.0,
OCM_120139,30.269824,-97.73169,True,0,0.0,
OCM_120140,30.270564,-97.749005,True,0,0.0,
OCM_120141,30.27396,-97.734846,True,0,0.0,
OCM_120142,30.274325,-97.764488,True,0,0.0,
OCM_120144,30.275385,-97.734899,True,0,0.0,
OCM_120146,30.276287,-97.817234,True,0,0.0,
OCM_120148,30.283044,-97.824902,True,0,0.0,
OCM_120149,30.28544,-97.715107,True,0,0.0,
OCM_120152,30.291085,-97.858717,True,0,0.0,
OCM_120155,30.292872587067038,-97.82763210051985,True,0,0.0,
OCM_120156,30.2967128,-97.7197883,True,0,0.0,
OCM_120157,30.3016155,-97.6986699,True,0,0.0,
OCM_120158,30.301775,-97.7081,True,0,0.0,
OCM_120159,30.302274,-97.697951,True,0,0.0,
OCM_120161,30.3041819,-97.8281612,True,0,0.0,
OCM_120165,30.31339,-97.946153,True,1,0.0,
OCM_120178,30.3298891,-97.6617122,True,0,0.0,
OCM_120180,30.3300458,-97.7392513,True,0,0.0,
OCM_120182,30.331058,-97.66847,True,0,0.0,
OCM_120183,30.3338571,-97.6913017,True,0,0.0,
OCM_120186,30.3440882,-97.6658226,True,0,0.0,
OCM_120188,30.3505908,-97.7545342,True,0,0.0,
OCM_120193,30.3712148,-97.8008871,True,6,0.0,
OCM_120196,30.3732957,-97.7399417,True,0,0.0,
OCM_120198,30.3744176,-97.7321552,True,0,0.0,
OCM_120199,30.381571,-97.713503,True,0,0.0,
OCM_120201,30.3857768,-97.8867695,True,2,0.0,
OCM_120203,30.3867831,-97.7687473,True,0,0.0,
OCM_120205,30.3896526,-97.7250356,True,0,0.0,
OCM_120206,30.3902461,-97.7482496,True,0,0.0,
OCM_120209,30.3950637,-97.709135,True,0,0.0,
OCM_120210,30.3962069,-97.7221024,True,0,0.0,
OCM_120211,30.3987005,-97.7240555,True,0,0.0,
OCM_120212,30.399682,-97.7205,True,0,0.0,
OCM_120213,30.399901,-97.683616,True,0,0.0,
OCM_120214,30.401339,-97.724155,True,0,0.0,
OCM_120215,30.404059,-97.850068,True,2,0.0,
