community_id,node_count,existing_count,avg_dist_to_existing_km,avg_node_weight,underserved
0,803,630,0.02456873120565301,0.4134479412494525,False
1,8,8,0.0,0.0,False
2,13,13,0.0,0.0,False
3,2,2,0.0,0.0,False
4,1,1,0.0,0.0,False
5,3,3,0.0,0.0,False
6,9,9,0.0,0.0,False
7,2,2,0.0,0.0,False
8,1,1,0.0,0.0,False
9,1,1,0.0,0.0,False
10,2,2,0.0,0.0,False
11,2,2,0.0,0.0,False
12,2,2,0.0,0.0,False
13,1,1,0.0,0.0,False
14,2,2,0.0,0.0,False
15,4,4,0.0,0.0,False
16,1,1,0.0,0.0,False
