site_id,base_learned_score,learned_node_score,demand_weight
NPA_28,0.18215760745778328,0.15571982937943538,0.24672631570390935
NPA_29,0.09590666776279878,0.004673623434990892,0.06770950355670949
NPA_30,0.22289797067443737,0.1801112171253068,0.2769762050908907
NPA_34,0.13732973309633242,0.09630348782375484,0.16621245499481824
NPA_36,0.1381996573151875,0.1680026925515433,0.11342720015038651
NPA_37,0.22787912608893748,0.16408671244349196,0.26073619414920046
NPA_39,0.4224696831876867,0.45012728149680037,0.3906747230894826
NPA_40,0.5211424451412949,0.353819034848661,0.5622261712129293
NPA_41,0.3365247090588659,0.314963560487626,0.3744584423126321
NPA_42,0.09741944567832406,0.034518112934685,0.04077346393289116
NPA_43,0.22894761811226486,0.12715441182476203,0.20885842917992786
NPA_44,0.38766382150941825,0.3857531517903434,0.3410094002238926
NPA_45,0.30318732008739024,0.19520698191381405,0.3236695994866102
NPA_47,0.20880674391751491,0.17109501963504903,0.1045134745681147
NPA_48,0.22099240082158014,0.2433348459608514,0.2476231621305868
NPA_49,0.14224442720404665,0.07136951054651841,0.16508451875224367
NPA_50,0.17964320818973206,0.23514061386195373,0.15725383215417527
NPA_51,0.4273796306306704,0.4049088995466918,0.448650432031879
NPA_52,0.260237111341977,0.1920561226880891,0.24871212407042262
NPA_53,0.09401763850225822,0.06909760322243151,0.1402580586266748
NPA_54,0.2476743100048006,0.32245781430241344,0.2552241757705066
NPA_55,0.31821777310142224,0.2357143774487023,0.2664849223757304
NPA_56,0.0,0.006784737529846391,0.03841733416469509
NPA_57,0.14830088595259125,0.10394820291887145,0.11569550213357133
NPA_58,0.2645311551811508,0.2880397604161487,0.20032810103795107
NPA_59,0.3826024300120092,0.36529371967532004,0.26485843847062807
NPA_60,0.23893091491251875,0.20276727530617933,0.22276718182774508
NPA_61,0.48273617148119113,0.403816698513651,0.46235095460485154
NPA_63,0.2370449459143863,0.1472081262767628,0.27637796644804513
NPA_64,0.15879598382265725,0.1439170099275725,0.1845332574988032
NPA_65,0.09167421570146325,0.0,0.05639632929265197
NPA_66,0.056189037370167186,0.033833197132327096,0.12023419163175791
NPA_67,0.41038572219485436,0.3739420665187057,0.33056910523699345
NPA_68,0.06103169281313868,0.08510173509616877,0.13034335814417886
NPA_69,0.5674106617215022,0.5198525254626151,0.6548158404186715
NPA_70,0.1526479349317986,0.1065618493167556,0.1437028054350642
NPA_1,0.30322212607604243,0.18647100527987287,0.2583826378926043
NPA_2,0.19687560234562348,0.09831398489307631,0.16327852276494487
NPA_3,0.2840002116896789,0.22942722593480389,0.27170698401643456
NPA_4,0.15203818283722237,0.08857184708659264,0.11080733551783399
NPA_5,0.1712283794357724,0.05295537143737375,0.16766739326651936
NPA_6,0.14220059420989015,0.07628462656746894,0.2277527419527943
NPA_7,1.0,0.8306082819715503,1.0
NPA_8,0.2525186507179025,0.14224103118598508,0.2523776372944242
NPA_9,0.3296099540482819,0.20356070694991732,0.2980827211106881
NPA_10,0.36637902144003437,0.41071755258987963,0.4579993833865983
NPA_11,0.7718378319071154,1.0,0.8958605867347926
NPA_12,0.34272317330787777,0.3431653733826593,0.3394185381152566
NPA_13,0.5432717573536533,0.5209170116669746,0.629750699536797
NPA_14,0.20374341775502944,0.14296152339521287,0.2674428579972143
NPA_15,0.7178241717959738,0.9157351821357164,0.7896135223560844
NPA_16,0.13964708182544078,0.144825526547186,0.18434427753525864
NPA_17,0.3293908067156121,0.3273119185348784,0.23869346069088382
NPA_18,0.21494225568401595,0.15101809086345014,0.2572370257306481
NPA_19,0.25874193522439776,0.16051858469090116,0.22564971960447866
NPA_20,0.1818020267444632,0.2850889552948263,0.17638745212954365
NPA_21,0.37896840758495093,0.3027044838838654,0.4345913557277772
NPA_22,0.1968041826629716,0.1289356322227562,0.15598777781676598
NPA_23,0.15596276783385268,0.1510381134648203,0.23929883266875324
NPA_24,0.581478354375469,0.5099386645400282,0.6259695174564347
NPA_25,0.39667708838858384,0.3844232721464799,0.35954954158230235
NPA_26,0.4325098093292352,0.28238657090788516,0.4398289114521926
NPA_27,0.43612210060297657,0.30992301085202023,0.534187655196912
NPA_95,0.11674944359820015,0.2347417328621663,0.09384166518519643
NPA_71,0.3338466241136959,0.3072492453834818,0.2862626317890972
NPA_72,0.1335284790974859,0.0665937566455069,0.1290620895077195
NPA_73,0.35191262341527196,0.2816280973773164,0.2949478555132321
NPA_74,0.371879815204147,0.29700497426570815,0.35391604292459683
NPA_76,0.20232211234916167,0.13435747854595295,0.24876729207162093
NPA_77,0.5592269735955107,0.4523433781216928,0.5630979272653284
NPA_78,0.5911253085277677,0.5135397178743993,0.5966050651060005
NPA_79,0.3226723488136119,0.22626356224573732,0.28458919017018736
NPA_80,0.2284115617643343,0.15968647549748965,0.231688668169483
NPA_81,0.13886641083586332,0.029938514795049637,0.07340614523829239
NPA_82,0.5112925686322052,0.4316743395849548,0.5299708287125637
NPA_83,0.37879548440870525,0.3012878208946538,0.3638553291960892
NPA_84,0.522075359911649,0.38856878428915276,0.4639159222460242
NPA_85,0.2828915282362808,0.26062366522124514,0.26281942067160646
NPA_86,0.43675351494950365,0.36826594190629,0.45708108086595234
NPA_87,0.3000446369083086,0.26310352197714026,0.22627632780688098
NPA_88,0.15843103033792819,0.08617656400861112,0.1640756399947288
NPA_89,0.2086097927695784,0.09573322448744577,0.2091633849637378
NPA_90,0.2877877782010441,0.3234537620355251,0.2232715948260476
NPA_91,0.2949473000297999,0.3792657249174021,0.3472718800024952
