rank,site_id,lat,lon,node_weight,population_score,marginal_demand_gain,cumulative_coverage
1,NPA_44,30.366722253064758,-97.7217847705786,0.5815218005467515,0.19743620948440224,0.5642809950499402,0.8690476190476191
2,NPA_84,30.21387710930234,-97.81288179308406,0.6249383267312741,0.4854975457385096,0.4639159222460242,0.8809523809523809
3,NPA_39,30.369894016884288,-97.68875365409174,0.588936130351936,0.25544602653036386,0.3906747230894826,0.8928571428571429
4,NPA_67,30.3104171429477,-97.66975031262233,0.6122969871645146,0.15451705813151595,0.33056910523699345,0.9047619047619048
5,NPA_59,30.288706692410727,-97.67005703725431,0.6141079458496473,0.22631941909050343,0.26485843847062807,0.9166666666666666
6,NPA_17,30.302704340216536,-97.67810294726884,0.5685830774774384,0.22631941909050343,0.23869346069088382,0.9285714285714286
7,NPA_87,30.34629029973379,-97.72523293270707,0.5362338245486411,0.20270982921585332,0.22627632780688098,0.9404761904761905
8,NPA_60,30.346328881081373,-97.68514536144328,0.4741722576329363,0.2001947182670074,0.22276718182774508,0.9523809523809523
9,NPA_58,30.19945325709755,-97.73170630295266,0.5347999393760574,0.06985517828891323,0.20032810103795107,0.9642857142857143
10,NPA_70,30.326598384523408,-97.68526959482833,0.4473076359960719,0.06940894892702122,0.1437028054350642,0.9761904761904762
11,NPA_78,30.300048092806097,-97.74394746491627,0.6040936356416166,0.5704433897204981,0.11342720015038651,0.9880952380952381
12,NPA_47,30.287346138063565,-97.69482954122803,0.5089386522379182,0.06884102064824957,0.1045134745681147,1.0
13,NPA_28,30.295809387693826,-97.72463914313346,0.39747415754551013,0.18072289156626506,0.0,1.0
14,NPA_29,30.218206234137256,-97.7709739224879,0.40339842377654705,0.04863900044622936,0.0,1.0
15,NPA_30,30.34106391249477,-97.71132716405458,0.4130985735669387,0.1577623625816397,0.0,1.0
16,NPA_34,30.28187375034491,-97.72074018437765,0.36423779300040493,0.18838992332968238,0.0,1.0
17,NPA_36,30.29594412743836,-97.7358633377846,0.40517938414399823,0.12770273011236866,0.0,1.0
18,NPA_37,30.297738930562744,-97.7142231301706,0.40308213927177977,0.18838992332968238,0.0,1.0
19,NPA_40,30.204337628979918,-97.79163319875443,0.5754766865626053,0.4854975457385096,0.0,1.0
20,NPA_41,30.35154515115912,-97.70197297379694,0.5087507743664716,0.26428948115695106,0.0,1.0
21,NPA_42,30.208836195366192,-97.77605793665121,0.40960466300647846,0.04863900044622936,0.0,1.0
22,NPA_43,30.20854827377785,-97.7628875874089,0.4667249625261568,0.09792706178248346,0.0,1.0
23,NPA_45,30.19791903828313,-97.77628385665047,0.46970345159938304,0.1831974362094844,0.0,1.0
24,NPA_48,30.358847141834186,-97.67750008251394,0.4569842673932296,0.26376211918380593,0.0,1.0
25,NPA_49,30.2180424570865,-97.78877643464152,0.410208132576796,0.16912092815707275,0.0,1.0
26,NPA_50,30.366752696281342,-97.73504634942793,0.47319376313909206,0.08790718429272647,0.0,1.0
27,NPA_51,30.228665372459407,-97.69821334832527,0.5231313589345974,0.40282341487160767,0.0,1.0
28,NPA_52,30.291482284373018,-97.71671361986785,0.4626004636455917,0.18838992332968238,0.0,1.0
29,NPA_53,30.25196257506583,-97.71992129583616,0.3101373993853121,0.055170175652103366,0.0,1.0
30,NPA_54,30.275499317052176,-97.75972424111498,0.3487442151041416,0.11107054480548456,0.0,1.0
31,NPA_55,30.336827989488214,-97.71229656071246,0.4990640525755038,0.1577623625816397,0.0,1.0
32,NPA_56,30.255471089250793,-97.68678899668758,0.3413442824835174,0.04417670682730924,0.0,1.0
33,NPA_57,30.325648577072727,-97.68730577956916,0.433632712146911,0.06940894892702122,0.0,1.0
34,NPA_61,30.329559032938793,-97.73045759097391,0.545452463243748,0.4099225183562533,0.0,1.0
35,NPA_63,30.249903760942296,-97.74385368728791,0.2650695456929378,0.1996673562938623,0.0,1.0
36,NPA_64,30.3384408307679,-97.7119794303195,0.39682671853948154,0.1577623625816397,0.0,1.0
37,NPA_65,30.217486607166887,-97.77343300308661,0.40791552898577027,0.04863900044622936,0.0,1.0
38,NPA_66,30.256038905259356,-97.73183089247239,0.16327657842150295,0.0868118940408097,0.0,1.0
39,NPA_68,30.387805250226236,-97.73887968200255,0.3113075161740132,0.0,0.0,1.0
40,NPA_69,30.287760932364648,-97.74653208732367,0.5322314912267186,0.5704433897204981,0.0,1.0
41,NPA_1,30.2502188872963,-97.75825206515141,0.44383925097518323,0.181534217678796,0.0,1.0
42,NPA_2,30.219054015311258,-97.7875987203052,0.46243352056064435,0.16912092815707275,0.0,1.0
43,NPA_3,30.331407454367074,-97.71851659163742,0.4716566753468412,0.1577623625816397,0.0,1.0
44,NPA_4,30.225462894577415,-97.79684994716219,0.4676297624257656,0.057279623544683786,0.0,1.0
45,NPA_5,30.224193271295857,-97.76927910155779,0.4363181794177323,0.04863900044622936,0.0,1.0
46,NPA_6,30.22917768890592,-97.75198464204773,0.3686478836195795,0.17711249036550242,0.0,1.0
47,NPA_7,30.37011160713379,-97.70922783040521,0.7971700082963686,1.0,0.0,1.0
48,NPA_8,30.223168034514842,-97.7922968780502,0.49443013553092,0.16912092815707275,0.0,1.0
49,NPA_9,30.266054253993488,-97.7196082656271,0.47823753676052605,0.20384568577339662,0.0,1.0
50,NPA_10,30.295854603135716,-97.76777192635937,0.47104515053816015,0.37791570321690804,0.0,1.0
