site_id,learned_node_score,demand_weight,population_score
NPA_28,0.1379268291111653,0.24672631570390935,0.18072289156626506
NPA_29,0.05772082179465681,0.06770950355670949,0.04863900044622936
NPA_30,0.17827953253149867,0.2769762050908907,0.1577623625816397
NPA_34,0.10056478945354048,0.16621245499481824,0.18838992332968238
NPA_36,0.1085215334656092,0.11342720015038651,0.12770273011236866
NPA_37,0.1853011712990535,0.26073619414920046,0.18838992332968238
NPA_39,0.3967079553604028,0.3906747230894826,0.25544602653036386
NPA_40,0.5054197752397458,0.5622261712129293,0.4854975457385096
NPA_41,0.3097703620238086,0.3744584423126321,0.26428948115695106
NPA_42,0.06509031708145435,0.04077346393289116,0.04863900044622936
NPA_43,0.18941598527043974,0.20885842917992786,0.09792706178248346
NPA_44,0.3588538160587408,0.3410094002238926,0.19743620948440224
NPA_45,0.2759095077879989,0.3236695994866102,0.1831974362094844
NPA_47,0.18109141189115774,0.1045134745681147,0.06884102064824957
NPA_48,0.16740277381111143,0.2476231621305868,0.26376211918380593
NPA_49,0.09779326307927139,0.16508451875224367,0.16912092815707275
NPA_50,0.13709522238158597,0.15725383215417527,0.08790718429272647
NPA_51,0.3963894863413897,0.448650432031879,0.40282341487160767
NPA_52,0.21753199050080385,0.24871212407042262,0.18838992332968238
NPA_53,0.07519745539337563,0.1402580586266748,0.055170175652103366
NPA_54,0.2189976999072465,0.2552241757705066,0.11107054480548456
NPA_55,0.28513003962977246,0.2664849223757304,0.1577623625816397
NPA_56,0.0,0.03841733416469509,0.04417670682730924
NPA_57,0.11338508642872042,0.11569550213357133,0.06940894892702122
NPA_58,0.21559843083750707,0.20032810103795107,0.06985517828891323
NPA_59,0.36072180212077887,0.26485843847062807,0.22631941909050343
NPA_60,0.18828058760698332,0.22276718182774508,0.2001947182670074
NPA_61,0.4501078943037982,0.46235095460485154,0.4099225183562533
NPA_63,0.2202672524491499,0.27637796644804513,0.1996673562938623
NPA_64,0.11776495184141023,0.1845332574988032,0.1577623625816397
NPA_65,0.05161721344472339,0.05639632929265197,0.04863900044622936
NPA_66,0.09754418991634427,0.12023419163175791,0.0868118940408097
NPA_67,0.3817050725539354,0.33056910523699345,0.15451705813151595
NPA_68,0.03424168161918265,0.13034335814417886,0.0
NPA_69,0.5499966655134501,0.6548158404186715,0.5704433897204981
NPA_70,0.11610518467758765,0.1437028054350642,0.06940894892702122
NPA_1,0.2548937481888103,0.2583826378926043,0.181534217678796
NPA_2,0.1427124801347019,0.16327852276494487,0.16912092815707275
NPA_3,0.25373635689511803,0.27170698401643456,0.1577623625816397
NPA_4,0.09830395705314476,0.11080733551783399,0.057279623544683786
NPA_5,0.10683844114835275,0.16766739326651936,0.04863900044622936
NPA_6,0.09720628065863983,0.2277527419527943,0.17711249036550242
NPA_7,1.0,1.0,1.0
NPA_8,0.19860305671749556,0.2523776372944242,0.16912092815707275
NPA_9,0.2900720898016527,0.2980827211106881,0.20384568577339662
NPA_10,0.34281099796962683,0.4579993833865983,0.37791570321690804
NPA_11,0.765367441130295,0.8958605867347926,0.7760334266358363
NPA_12,0.3070769255688597,0.3394185381152566,0.2444119913999432
NPA_13,0.5188935368055864,0.629750699536797,0.5704433897204981
NPA_14,0.15662661558458066,0.2674428579972143,0.1831974362094844
NPA_15,0.7053963882096456,0.7896135223560844,0.6371749624761673
NPA_16,0.09286585966256954,0.18434427753525864,0.14396981866861386
NPA_17,0.3020099315260671,0.23869346069088382,0.22631941909050343
NPA_18,0.16803736210231754,0.2572370257306481,0.23629873027463388
NPA_19,0.21540227397296785,0.22564971960447866,0.18838992332968238
NPA_20,0.12208475772537913,0.17638745212954365,0.18011439698186685
NPA_21,0.3487637212437544,0.4345913557277772,0.38846294267981013
NPA_22,0.13669979132172627,0.15598777781676598,0.06884102064824957
NPA_23,0.111976272225281,0.23929883266875324,0.1577623625816397
NPA_24,0.5638379901418643,0.6259695174564347,0.5704433897204981
NPA_25,0.36895813467447797,0.35954954158230235,0.22631941909050343
NPA_26,0.40061288994582067,0.4398289114521926,0.454058658877936
NPA_27,0.4119897374494334,0.534187655196912,0.4285830189444647
NPA_95,0.0724354846561748,0.09384166518519643,0.06389193136181089
NPA_71,0.30111214026105587,0.2862626317890972,0.27252444119914
NPA_72,0.07027298132770948,0.1290620895077195,0.044947466634213624
NPA_73,0.31827196532851443,0.2949478555132321,0.1195489026814328
NPA_74,0.34971677855397354,0.35391604292459683,0.2444119913999432
NPA_76,0.1839352164776121,0.24876729207162093,0.1996673562938623
NPA_77,0.5312846603565704,0.5630979272653284,0.5357591984098008
NPA_78,0.573865581691437,0.5966050651060005,0.5704433897204981
NPA_79,0.28955953169530213,0.28458919017018736,0.20384568577339662
NPA_80,0.19033398435810356,0.231688668169483,0.18838992332968238
NPA_81,0.10331551273596261,0.07340614523829239,0.04863900044622936
NPA_82,0.48945001861175713,0.5299708287125637,0.4869984990466918
NPA_83,0.34479759925114195,0.3638553291960892,0.26376211918380593
NPA_84,0.5055551833164968,0.4639159222460242,0.4854975457385096
NPA_85,0.23663358368045065,0.26281942067160646,0.2444119913999432
NPA_86,0.4019807245647181,0.45708108086595234,0.4099225183562533
NPA_87,0.2607355007531154,0.22627632780688098,0.20270982921585332
NPA_88,0.09786446040791942,0.1640756399947288,0.12011683096020445
NPA_89,0.14320500273316675,0.2091633849637378,0.06450042594620908
NPA_90,0.24610002435943365,0.2232715948260476,0.19743620948440224
NPA_91,0.26071012348745864,0.3472718800024952,0.30205671169526593
