site_id,learned_node_score,demand_weight,population_score
NPA_28,0.1736442651728014,0.24672631570390935,0.18072289156626506
NPA_29,0.09859007678318557,0.06770950355670949,0.04863900044622936
NPA_30,0.21057155283705326,0.2769762050908907,0.1577623625816397
NPA_34,0.11574778094857349,0.16621245499481824,0.18838992332968238
NPA_36,0.18287668854285585,0.11342720015038651,0.12770273011236866
NPA_37,0.14171730909275007,0.26073619414920046,0.18838992332968238
NPA_39,0.3172353388006024,0.3906747230894826,0.25544602653036386
NPA_40,0.11942287403796127,0.5622261712129293,0.4854975457385096
NPA_41,0.2576274826190256,0.3744584423126321,0.26428948115695106
NPA_42,0.1070416559712457,0.04077346393289116,0.04863900044622936
NPA_43,0.09942063244508516,0.20885842917992786,0.09792706178248346
NPA_44,0.2824734424067532,0.3410094002238926,0.19743620948440224
NPA_45,0.10941797454144625,0.3236695994866102,0.1831974362094844
NPA_47,0.12806702310399212,0.1045134745681147,0.06884102064824957
NPA_48,0.3078451252833894,0.2476231621305868,0.26376211918380593
NPA_49,0.11413996367845496,0.16508451875224367,0.16912092815707275
NPA_50,0.2623874941083659,0.15725383215417527,0.08790718429272647
NPA_51,0.3236168702509977,0.448650432031879,0.40282341487160767
NPA_52,0.13774195971074144,0.24871212407042262,0.18838992332968238
NPA_53,0.0505670612832455,0.1402580586266748,0.055170175652103366
NPA_54,0.27469481178464894,0.2552241757705066,0.11107054480548456
NPA_55,0.20533754330207238,0.2664849223757304,0.1577623625816397
NPA_56,0.14930943667714555,0.03841733416469509,0.04417670682730924
NPA_57,0.2036704174383583,0.11569550213357133,0.06940894892702122
NPA_58,0.20274036036612753,0.20032810103795107,0.06985517828891323
NPA_59,0.1854759634926841,0.26485843847062807,0.22631941909050343
NPA_60,0.2502366067702172,0.22276718182774508,0.2001947182670074
NPA_61,0.19676274449627756,0.46235095460485154,0.4099225183562533
NPA_63,0.00933182017969144,0.27637796644804513,0.1996673562938623
NPA_64,0.21057155283705326,0.1845332574988032,0.1577623625816397
NPA_65,0.09859007678318557,0.05639632929265197,0.04863900044622936
NPA_66,0.0,0.12023419163175791,0.0868118940408097
NPA_67,0.21465872036113182,0.33056910523699345,0.15451705813151595
NPA_68,0.2817149827733117,0.13034335814417886,0.0
NPA_69,0.23648825763067294,0.6548158404186715,0.5704433897204981
NPA_70,0.20510846778183559,0.1437028054350642,0.06940894892702122
NPA_1,0.04163413585077916,0.2583826378926043,0.181534217678796
NPA_2,0.10469729291311469,0.16327852276494487,0.16912092815707275
NPA_3,0.20344076661430355,0.27170698401643456,0.1577623625816397
NPA_4,0.1079434185557029,0.11080733551783399,0.057279623544683786
NPA_5,0.09470233048254602,0.16766739326651936,0.04863900044622936
NPA_6,0.07385117580594312,0.2277527419527943,0.17711249036550242
NPA_7,0.34028959329785696,1.0,1.0
NPA_8,0.1079434185557029,0.2523776372944242,0.16912092815707275
NPA_9,0.04212235959082719,0.2980827211106881,0.20384568577339662
NPA_10,0.3306256397639957,0.4579993833865983,0.37791570321690804
NPA_11,1.0,0.8958605867347926,0.7760334266358363
NPA_12,0.2063107481606491,0.3394185381152566,0.2444119913999432
NPA_13,0.27668949472216275,0.629750699536797,0.5704433897204981
NPA_14,0.11712934691719788,0.2674428579972143,0.1831974362094844
NPA_15,0.7492199403232119,0.7896135223560844,0.6371749624761673
NPA_16,0.20612298991461028,0.18434427753525864,0.14396981866861386
NPA_17,0.20823173990911872,0.23869346069088382,0.22631941909050343
NPA_18,0.14709624288950632,0.2572370257306481,0.23629873027463388
NPA_19,0.10276429823498881,0.22564971960447866,0.18838992332968238
NPA_20,0.3730746411725487,0.17638745212954365,0.18011439698186685
NPA_21,0.20367700728209112,0.4345913557277772,0.38846294267981013
NPA_22,0.10724696098373188,0.15598777781676598,0.06884102064824957
NPA_23,0.20351707282070206,0.23929883266875324,0.1577623625816397
NPA_24,0.26268822110411055,0.6259695174564347,0.5704433897204981
NPA_25,0.1983934170180727,0.35954954158230235,0.22631941909050343
NPA_26,0.13425399726322743,0.4398289114521926,0.454058658877936
NPA_27,0.0829959437942814,0.534187655196912,0.4285830189444647
NPA_95,0.29103595063098275,0.09384166518519643,0.06389193136181089
NPA_71,0.19242563361347492,0.2862626317890972,0.27252444119914
NPA_72,0.07553291961666775,0.1290620895077195,0.044947466634213624
NPA_73,0.180102573532719,0.2949478555132321,0.1195489026814328
NPA_74,0.17551494398737427,0.35391604292459683,0.2444119913999432
NPA_76,0.00933182017969144,0.24876729207162093,0.1996673562938623
NPA_77,0.18961260714510605,0.5630979272653284,0.5357591984098008
NPA_78,0.25798265427608685,0.5966050651060005,0.5704433897204981
NPA_79,0.08520003732152769,0.28458919017018736,0.20384568577339662
NPA_80,0.12625607128579147,0.231688668169483,0.18838992332968238
NPA_81,0.09859007678318557,0.07340614523829239,0.04863900044622936
NPA_82,0.23860568948279767,0.5299708287125637,0.4869984990466918
NPA_83,0.3078451252833894,0.3638553291960892,0.26376211918380593
NPA_84,0.11394404657827072,0.4639159222460242,0.4854975457385096
NPA_85,0.17551494398737427,0.26281942067160646,0.2444119913999432
NPA_86,0.19676274449627756,0.45708108086595234,0.4099225183562533
NPA_87,0.22496220253916094,0.22627632780688098,0.20270982921585332
NPA_88,0.08342548654489891,0.1640756399947288,0.12011683096020445
NPA_89,0.05734204824476897,0.2091633849637378,0.06450042594620908
NPA_90,0.2639198942779864,0.2232715948260476,0.19743620948440224
NPA_91,0.2961268664163363,0.3472718800024952,0.30205671169526593
